,acousticness,dance,duration,energy,instrumentalness,key,liveness,loudness,mode,playlist,song,speech,tempo,time,valence
220,0.832,0.678,241393,0.204,0.0,2,0.118,-10.371,1,45UoCqtVh2BR1HteUkmRje,4lCtZZktwgQqzCoJxK3ZxR,0.0525,115.795,4,0.299
221,0.225,0.6,245493,0.663,0.0,3,0.119,-5.802,1,45UoCqtVh2BR1HteUkmRje,4nVBt6MZDDP6tRVdQTgxJg,0.0477,121.07,4,0.286
222,0.422,0.927,249382,0.721,4.36e-05,8,0.0422,-12.561,1,45UoCqtVh2BR1HteUkmRje,4oaj36KzXRgDg4McgcTsZK,0.0908,103.018,4,0.965
223,0.15,0.695,240040,0.615,0.000212,7,0.0879,-5.325,0,45UoCqtVh2BR1HteUkmRje,4pGqFOfzvfe6avb9kbZicC,0.042,124.015,4,0.414
224,0.859,0.795,233747,0.378,0.0,4,0.204,-9.979,1,45UoCqtVh2BR1HteUkmRje,4qug3gWrzeTNm0GhOkugJV,0.316,100.227,4,0.576
225,0.0189,0.596,240427,0.838,1.54e-05,5,0.108,-6.52,0,45UoCqtVh2BR1HteUkmRje,4vb4mFvYsr2h6enhjJsq9Y,0.0704,94.982,4,0.472
226,0.598,0.667,238813,0.199,0.0,4,0.157,-10.409,1,45UoCqtVh2BR1HteUkmRje,4vmLCwIH2r5r04aw5qRX4c,0.0518,163.652,4,0.668
227,0.323,0.56,237493,0.825,0.0,11,0.161,-3.862,1,45UoCqtVh2BR1HteUkmRje,4w1lzcaoZ1IC2K5TwjalRP,0.0379,94.931,4,0.268
228,0.722,0.707,294856,0.412,2.27e-06,9,0.0988,-9.406,1,45UoCqtVh2BR1HteUkmRje,4w6BRW3NRbjlNcIqiZ0ybE,0.0308,114.031,4,0.354
229,0.565,0.857,244973,0.517,0.000195,0,0.102,-6.972,1,45UoCqtVh2BR1HteUkmRje,4wCmqSrbyCgxEXROQE6vtV,0.0384,129.063,4,0.754
